Unnamed: 0_level_0|Capita|Первичная энергия|Произ-водство|Импорт|Электри-чество|Выбросы CO2
Unnamed: 0_level_1|Миллион|ТВт·ч|ТВт·ч|ТВт·ч|ТВт·ч|Мт
2004 г.|4808|2 478|442|2140|355|462
2007 г.|4846|2584|494|2213|412|489
2008 г.|4861|2639|520|2269|430|501
2009 г.|4875|2665|515|2 304|438|515
2010 г.|4888|2 908|522|2571|481|563
2012 г.|4978|3029|546|2 644|506|588
2012R|50.00|3064|538|2 659|517|593
2013|5022|3068|507|2 723|524|572
Изменение 2004-10|1,7%|17,3%|18,1%|20,1%|35,5%|21,9%
Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены|Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены|Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены|Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены|Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены|Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены|Мтнэ = 11,63 ТВтч. Первичная энергия включает потери энергии, которые составляют 2/3 для ядерной энергетики[5] 2012R = критерии расчета CO2 изменены, числа обновлены
